TM,STN_ID,PM10,FLAG
"202501191820,","132,","29,000000,,=",
"202501130200,","156,","45,000000,,=",
"202501071740,","102,","39,000000,,=",
"202501092140,","93,","29,000000,,=",
"202501200115,","160,","22,000000,,=",
"202501231920,","135,","6,000000,,=",
"202501280200,","140,","50,000000,,=",
"202501012305,","160,","17,000000,,=",
"202501201810,","501,","70,000000,,=",
"202501052215,","185,","14,000000,,=",
"202501202010,","169,","27,000800,,=",
"202501030205,","201,","20,000000,,=",
"202501251920,","152,","28,000000,,=",
"202501260720,","119,","12,000000,,=",
"202501080700,","399,","20,",",,="
"202501100900,","102,","18,000000,,=",
"202501260535,","273,","0,000000,,=",
"202501290610,","229,","14,000000,,=",
"202501190915,","232,","51,000000,,=",
"202501271340,","268,","97,000000,,=",
"202501131240,","229,","79,000000,,=",
"202501251725,","160,","29,000000,,=",
"202501010915,","115,","22,000000,,=",
"202501192115,","160,","36,000000,,=",
"202501042310,","273,","10,000000,,=",
"202501182150,","229,","9,000000,,=",
"202501210115,","501,","52,000000,,=",
"202501212030,","102,","44,000000,,=",
"202501091720,","169,","5,000800,,=",
"202501211855,","399,","76,",",,="
"202501180715,","100,","29,000000,,=",
"202501120520,","229,","13,000000,,=",
"202501291240,","93,","34,000000,,=",
"202501042145,","100,","17,000000,,=",
"202501090755,","135,","13,000800,,=",
"202501142155,","132,","38,000000,,=",
"202501271225,","501,","95,000000,,=",
"202501211145,","160,","63,000000,,=",
"202501012000,","229,","45,000000,,=",
"202501200945,","501,","36,000000,,=",
"202501051700,","108,","35,000000,,=",
"202501240030,","146,","63,000000,,=",
"202501120535,","93,","21,000000,,=",
"202501070355,","201,","18,000000,,=",
"202501250205,","185,","32,000000,,=",
"202501151005,","132,","47,000000,,=",
"202501240340,","192,","10,000000,,=",
"202501120825,","146,","44,000000,,=",
"202501031910,","229,","13,000000,,=",
"202501061105,","152,","62,000000,,=",
