TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20250128,108,4.0,3471,29,7.3,1517,29,15.2,1508,-3.9,-2.5,1457,-5.3,2331,-8.3,-0.5,-4.9,71.3,58.0,1501,3.3,1.0,0.7,-9.0,1004.8,1015.8,1020.9,2344,1012.6,534,8.4,0.6,10.2,-9.0,5.74,0.93,1000,0.1,0.2,22.58,-9.0,-9,-9.0,-9,-9.0,-9,0.4,455,2.8,330,2.1,4.8,7.5,14.3,16.9
20250116,108,2.0,1708,32,4.7,2129,27,8.2,2124,-0.5,2.8,1448,-4.9,1,-6.3,-1.7,-7.7,65.1,47.0,7,4.0,0.9,0.6,-9.0,1013.7,1024.6,1028.7,1,1022.1,1447,6.8,0.2,9.9,-9.0,2.91,0.87,1300,0.0,0.0,2.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.3,5.5,8.4,15.3,17.5
20250124,108,1.5,1326,32,3.0,1807,32,4.6,1742,3.1,10.6,1542,-2.7,815,-8.1,0.6,-9.6,45.9,24.0,1656,3.3,3.1,2.1,-9.0,1015.4,1026.2,1027.5,1027,1024.2,1507,0.0,9.4,10.1,-9.0,12.68,2.14,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.1,5.0,7.7,14.6,17.1
20250118,108,1.6,1388,20,2.7,1358,25,4.4,1818,1.0,7.5,1340,-4.0,756,-7.8,-1.5,-11.2,54.1,27.0,1423,3.4,2.2,1.5,-9.0,1013.0,1023.8,1027.0,249,1020.8,2320,2.3,7.9,9.9,-9.0,10.75,1.91,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.1,5.3,8.3,15.1,17.3
20250109,108,4.2,3587,29,7.6,1255,34,14.1,1326,-9.7,-6.1,1,-11.6,2322,-21.3,-5.3,-16.4,38.4,31.0,1409,1.1,1.6,1.1,-9.0,1015.1,1026.4,1030.9,2343,1023.1,1,0.1,8.5,9.8,-9.0,12.36,2.12,1200,0.0,-9.0,0.25,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.9,6.2,9.2,15.9,17.8
20250110,108,1.6,1376,34,3.0,411,20,4.9,1444,-7.3,-1.7,1553,-12.2,721,-16.5,-4.8,-17.1,48.0,36.0,1459,1.7,1.5,1.1,-9.0,1020.6,1031.9,1033.6,942,1030.4,1443,1.5,9.2,9.8,-9.0,12.17,2.06,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.7,6.2,9.1,15.8,17.7
20250130,108,1.6,1410,27,3.2,1304,29,6.0,339,-3.8,-1.0,1240,-7.5,746,-14.0,-1.7,-9.4,46.6,29.0,1553,2.1,1.5,1.1,-9.0,1016.9,1028.0,1029.3,1052,1026.7,1,6.6,2.7,10.3,-9.0,8.01,1.72,1200,-9.0,0.1,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,0.4,1,2.1,4.8,7.4,14.1,16.8
20250125,108,3.1,2661,5,5.0,2243,5,8.9,2308,5.2,11.4,1404,1.2,536,-3.9,0.6,-5.9,52.8,35.0,1421,4.6,3.3,2.3,-9.0,1017.8,1028.5,1030.3,1009,1026.5,1520,1.1,7.7,10.1,-9.0,11.67,2.2,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,2.1,4.9,7.7,14.5,17.0
20250113,108,1.7,1497,20,4.0,1500,20,6.8,1622,-0.4,4.1,1330,-5.6,555,-4.1,-2.1,-12.9,76.9,56.0,1315,4.7,1.0,0.7,-9.0,1013.9,1024.8,1027.1,948,1023.1,1503,6.1,2.2,9.8,-9.0,6.1,1.58,1100,1.3,1.4,7.42,-9.0,-9,-9.0,-9,-9.0,-9,0.1,1655,0.1,1655,2.4,5.8,8.8,15.6,17.6
20250101,108,2.2,1861,25,5.1,1519,29,9.7,1417,2.6,8.9,1540,-2.5,441,-3.6,-0.2,-9.5,64.3,49.0,1543,4.8,1.9,1.3,-9.0,1011.0,1021.8,1023.1,2359,1020.0,1446,2.6,5.6,9.6,-9.0,8.55,1.73,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,3.4,6.9,10.0,16.7,18.1
