사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20250707,경인선,소사,7480,7079,20250710
20250709,2호선,이대,16533,17990,20250712
20250712,3호선,독립문,6352,6319,20250715
20250721,우이신설선,4.19민주묘지,3288,3185,20250724
20250711,경원선,도봉산,7714,4753,20250714
20250719,경원선,덕계,4659,4400,20250722
20250705,분당선,구룡,3102,2805,20250708
20250716,5호선,애오개,7188,7261,20250719
20250725,6호선,연신내,1,0,20250728
20250705,6호선,대흥(서강대앞),6509,6513,20250708
20250714,7호선,숭실대입구(살피재),12661,12993,20250717
20250715,경부선,서정리,7690,7291,20250718
20250728,경강선,신둔도예촌,1391,1377,20250731
20250709,우이신설선,신설동,2665,2510,20250712
20250723,안산선,안산,11988,11060,20250726
20250726,과천선,선바위,4986,4065,20250729
20250731,2호선,신대방,25186,24054,20250803
20250714,공항철도 1호선,마곡나루(서울식물원),13517,12645,20250717
20250703,수인선,인천,1016,1631,20250706
20250710,7호선,광명사거리,22647,22523,20250713
20250717,경원선,도봉산,6193,3740,20250720
20250720,우이신설선,신설동,1447,1504,20250723
20250704,경의선,일산,12011,11784,20250707
20250724,6호선,석계,13009,13304,20250727
20250722,9호선,가양,24061,23714,20250725
20250730,신림선,샛강,3384,3794,20250802
20250721,서해선,김포공항,3409,4937,20250724
20250714,7호선,학동,25855,26355,20250717
20250709,경부선,군포,7429,7372,20250712
20250725,5호선,개화산,6820,6347,20250728
20250725,9호선2~3단계,언주,13597,13314,20250728
20250723,6호선,효창공원앞,8269,7427,20250726
20250724,경의선,서울역,3737,5057,20250727
20250704,경부선,관악,7477,7292,20250707
20250712,중앙선,도심,1765,1566,20250715
20250712,4호선,남태령,1311,739,20250715
20250708,9호선2~3단계,언주,13660,13677,20250711
20250728,2호선,잠실(송파구청),82489,81689,20250731
20250722,2호선,신림,58343,57724,20250725
20250722,2호선,용두(동대문구청),2745,2860,20250725
20250712,9호선2~3단계,선정릉,5611,6238,20250715
20250719,우이신설선,북한산보국문,4845,4279,20250722
20250709,7호선,중계,16299,15474,20250712
20250701,5호선,미사,18806,19175,20250704
20250730,5호선,신길,5270,5564,20250802
20250715,2호선,역삼,61683,69541,20250718
20250708,경춘선,대성리,834,668,20250711
20250714,경인선,구일,6431,6511,20250717
20250718,2호선,동대문역사문화공원(DDP),16382,17989,20250721
20250717,3호선,경복궁(정부서울청사),23947,23674,20250720
