USE_YMD,RTE_ID,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,GTON_TNOPE,GTOFF_TNOPE,REG_YMD
20250404,11110065,650,650번(외발산동~서울대입구),118000034,19119,김안과병원(00069),222.0,180.0,20250407
20250413,11110384,342,342번(강동차고지~압구정로데오역),122000384,23507,영동고등학교현대아파트(00060),140.0,40.0,20250416
20250402,11110474,성북10,성북10(장위중학교~미아사거리역),108900100,09592,경남아너스빌정문(00013),30.0,84.0,20250405
20250412,11110936,2236,2236번(중랑차고지~신이문역),106000165,07260,이화연립경동제일교회앞(00053),25.0,28.0,20250415
20250403,11110392,7734,7734번(진관공영차고지~홍대입구역),113000505,14096,홍대입구역(가상)(00049),1.0,15.0,20250406
20250406,11110062,640,640번(신월동~강남역),119000013,20013,노들역(00028),78.0,32.0,20250409
20250412,11110920,4432,4432번(개포동~옛골),122000230,23334,구룡중학교앞(00055),13.0,107.0,20250415
20250422,11110603,동작10,동작10(노들역~상도역),119900013,20588,중대후문입구(00014),52.0,19.0,20250425
20250407,11110716,은평05,은평05(백련산힐스테이트3차~녹번역),111900126,12813,서울연은초등학교(00003),65.0,1.0,20250410
20250423,11110371,N62,N62번(양천공영차고지~면목동차고지),101000141,02246,을지로입구역.광교(00123),5.0,1.0,20250426
20250404,41110096,703,703번(탄현역~숭례문),218000346,35024,고양시청(00025),19.0,32.0,20250407
20250415,41110215,721,721번(북가좌동~건대입구역),112000027,13110,연희104고지앞.구성산회관(00010),132.0,87.0,20250418
20250424,11110460,N64,N64번(염곡공영차고지~강서공영차고지),122000192,23296,역삼2동주민센터.대림역삼아파트(00011),2.0,0.0,20250427
20250409,41110079,7728,7728번(대화동~신촌),219000410,36035,한뫼초교.일산중고교(00010),94.0,34.0,20250412
20250404,11110376,463,463(염곡동~국회의사당),122000323,23430,국민은행압구정종합금융센터(00017),133.0,389.0,20250407
20250420,11110628,마포06,마포06(홍대입구역~남가좌동아이파크아파트),112900224,13823,남가좌동아이파크후문(00018),120.0,218.0,20250423
20250423,41110070,7016,7016번(은평차고지~상명대),113000071,14162,성산아파트(00096),13.0,47.0,20250426
20250414,11110017,146,146번(상계주공7단지~강남역),110000061,11161,공릉역1번출구(00108),200.0,201.0,20250417
20250404,11110001,100,100번(하계동~용산구청),102000120,03214,이촌동동부센트레빌(00048),36.0,134.0,20250407
20250402,41110099,707,707번(가좌동~서울역),111000064,12152,하나은행역촌동지점(00050),117.0,111.0,20250405
20250407,41110210,5633,5633번(노온사동~순복음교회),213000230,38211,호봉골(00011),117.0,8.0,20250410
20250407,11110193,2233,2233번(면목동~옥수동),105000484,06025,용두동사거리(00084),67.0,25.0,20250410
20250420,11110044,400,400번(염곡동~시청),102000109,03203,용산중고(00047),84.0,133.0,20250423
