USE_YMD,RTE_ID,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,GTON_TNOPE,GTOFF_TNOPE,REG_YMD
20250405,11110442,8003,8003번(평창동주민센터~평창동주민센터),100900016,01522,오거리(00003),1.0,11.0,20250408
20250402,11110202,3217,3217번(송파차고지~어린이대공원),123000678,24405,덕수고등학교(00076),61.0,114.0,20250405
20250426,11110140,1133,1133번(염광고교(수유)~염광고교(석계)),110000178,11278,광운대역(00037),69.0,321.0,20250429
20250406,11110419,3322,3322번(송파차고지~잠실종합운동장),123000070,24159,영빌딩앞(00036),71.0,54.0,20250409
20250409,11110536,관악10,관악10(아카시아마을.민방위교육장~신림역),120900016,21578,난곡터널(00009),728.0,44.0,20250412
20250428,11110396,761,761번(진관차고지~영등포역),112000092,13175,북가좌2동주민센터(00019),162.0,126.0,20250501
20250401,11110340,502,502(월암공영차고지~한국은행신세계),220000007,37003,과천10단지(00095),33.0,94.0,20250404
20250424,11110818,361,361번(송파차고지~여의도),121000017,22017,반포역(00036),95.0,131.0,20250427
20250420,41110096,703,703번(탄현역~숭례문),111000927,12018,연신내역.연서시장(00044),122.0,239.0,20250423
20250428,11110212,3412,3412번(강동공영차고지~강남역),123000133,24222,올림픽공원장미광장(00085),73.0,85.0,20250501
20250403,41110042,740,740번(덕은동~삼성역),113000088,14179,공덕역2번출구(00072),202.0,293.0,20250406
20250403,11110723,종로12,종로12(서울대학교병원~종로3가),100900042,01887,서울대학교병원현관.암병원현관(00012),116.0,527.0,20250406
20250406,11110001,100,100번(하계동~용산구청),101000004,02004,서울역버스환승센터(00041),209.0,189.0,20250409
20250407,11110656,서초14,서초14(이수역~고속터미널),121900189,22872,반포2동주민센터(00022),34.0,16.0,20250410
20250407,11110935,8146,8146번(상계주공7단지~강남역),104000009,05102,군자교(00046),11.0,1.0,20250410
20250404,11110968,103,103번(삼화상운~서울역),105000552,06107,신설동역1번출구(00048),367.0,197.0,20250407
20250430,11110537,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.관악복합평생교육센터(00005),44.0,75.0,20250503
20250413,41110156,760,760번(대화동~영등포소방서.타임스퀘어),219000131,36664,일산동부경찰서(00007),67.0,36.0,20250416
20250404,41110213,540,540번(군포공영차고지~강남성모병원),220000020,37034,과천동주민센터(00035),218.0,82.0,20250407
20250406,41110072,7021,7021번(은평공영차고지~롯데백화점),112000124,13207,연희홍연아파트(00024),112.0,32.0,20250409
20250426,11110379,2312,2312번(강동공영차고지~중랑공영차고지),124000195,25312,천동초교입구사거리(00083),3.0,16.0,20250429
20250404,11110049,420,420번(개포동~답십리역),122000190,23294,뱅뱅사거리.역삼동(00014),250.0,303.0,20250407
20250403,11110377,N15,N15번(남태령역~우이동도선사입구),100000395,01020,종로5가.광장시장(00106),3.0,6.0,20250406
20250410,41110128,9711,9711번(일산동부경찰서~양재역),113000195,14289,월드컵파크5단지(00015),216.0,144.0,20250413
20250417,11110329,710,710번(상암차고지~수유역),108000012,09012,미아사거리역(00035),169.0,326.0,20250420
20250412,11110178,2112,2112번(면목동~성북동),105000150,06236,국민은행장안동지점(00084),79.0,138.0,20250415
20250402,11110085,643,643번(양천차고지~강남역),116000636,18151,디지털단지오거리.가산파출소(00010),272.0,297.0,20250405
