TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20250705,108,2.8,2379,20,4.5,426,16,8.1,427,28.4,32.3,1501,26.0,459,22.9,29.8,24.4,72.9,58.0,1510,28.0,4.9,3.4,-9.0,995.1,1004.7,1006.2,730,1002.6,1800,8.1,3.0,14.7,-9.0,14.77,2.69,1400,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.7,23.0,21.1,16.6,14.1
20250717,108,2.1,1841,7,4.6,914,11,9.3,1138,23.3,24.4,1525,22.0,1000,22.2,22.6,21.2,94.3,85.0,1235,26.8,1.5,1.1,-9.0,993.1,1002.9,1004.9,901,1000.3,44,10.0,0.0,14.5,-9.0,4.77,1.45,1100,75.5,34.3,18.58,32.5,626,19.0,629,-9.0,-9,-9.0,-9,-9.0,-9,24.9,24.7,23.2,17.5,14.5
20250706,108,2.5,2139,18,4.2,1417,18,7.3,34,29.1,32.8,1408,26.3,727,23.9,29.0,23.8,74.3,59.0,1346,29.6,4.8,3.4,-9.0,994.3,1003.9,1005.3,810,1002.3,1520,8.8,1.7,14.7,-9.0,14.7,2.67,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.8,23.1,21.2,16.7,14.1
20250714,108,2.0,1698,5,4.0,1213,29,6.6,2254,24.2,28.1,1129,21.7,2343,20.0,24.6,19.8,78.3,60.0,1113,23.4,2.3,1.6,-9.0,984.6,994.2,997.9,1,993.3,1140,8.4,0.5,14.5,-9.0,7.19,1.37,1000,13.6,16.6,12.25,4.0,2104,0.9,1522,-9.0,-9,-9.0,-9,-9.0,-9,26.9,24.5,22.3,17.3,14.4
20250712,108,2.3,2025,5,4.0,212,5,7.3,8,30.3,36.5,1617,24.4,554,17.3,36.9,18.4,47.5,28.0,1349,19.9,10.4,7.2,-9.0,998.2,1007.8,1011.7,24,1004.9,1733,2.6,13.2,14.6,-9.0,30.02,3.65,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.2,24.2,22.0,17.1,14.3
20250723,108,1.8,1586,29,4.2,1644,29,6.2,1638,28.9,33.3,1418,25.5,540,22.7,29.9,22.9,70.4,53.0,1456,27.6,6.8,4.7,-9.0,1002.4,1012.0,1014.0,635,1009.9,1737,6.4,7.9,14.3,-9.0,22.14,3.54,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.5,24.2,23.8,20.0,16.4
20250702,108,2.9,2544,20,5.2,1259,18,9.1,1240,28.6,30.9,1247,26.8,520,23.9,28.3,25.2,76.3,60.0,1649,29.6,4.6,3.2,-9.0,1001.8,1011.5,1012.9,822,1009.8,1831,8.0,2.3,14.7,-9.0,14.4,2.0,1200,0.0,0.0,0.33,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.5,22.5,20.8,16.4,14.0
20250703,108,2.8,2456,23,4.6,1705,25,8.8,1658,28.3,32.0,1523,26.5,2357,23.3,29.3,23.9,75.5,56.0,1656,28.7,4.9,3.4,-9.0,999.3,1008.9,1011.1,6,1007.2,1746,7.5,2.7,14.7,-9.0,13.6,2.6,1400,0.0,0.0,0.08,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.7,22.7,20.8,16.5,14.0
20250726,108,1.7,1472,11,3.3,906,11,5.4,903,32.3,37.1,1701,27.6,551,23.8,34.2,24.3,61.9,42.0,1709,29.5,7.7,5.4,-9.0,996.6,1006.1,1007.6,1,1003.8,1759,2.9,11.0,14.3,-9.0,24.32,3.27,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.6,24.7,23.8,19.5,16.3
20250704,108,3.2,2800,20,5.6,1431,20,10.0,1429,27.2,30.0,1436,25.7,453,22.7,27.8,23.4,77.0,66.0,1440,27.6,3.3,2.3,-9.0,996.6,1006.2,1007.9,5,1004.2,1748,8.8,0.8,14.7,-9.0,7.72,2.14,1400,0.0,0.0,1.75,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.8,22.9,20.9,16.6,14.1
20250722,108,2.7,2323,25,5.2,1507,23,9.2,1502,28.8,32.2,1431,26.6,527,23.9,29.5,23.7,75.6,57.0,1507,29.6,6.3,4.4,-9.0,1003.5,1013.1,1014.1,744,1012.3,1428,6.4,6.6,14.4,-9.0,20.43,3.46,1300,0.1,0.1,0.58,0.1,-9,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.1,24.0,23.9,20.5,16.4
20250727,108,2.0,1685,14,3.4,815,16,6.6,1333,32.8,38.0,1535,28.3,550,24.2,38.2,24.4,62.4,39.0,1541,30.3,8.9,6.3,-9.0,994.6,1004.1,1006.0,739,1001.7,1753,0.6,12.5,14.2,-9.0,28.42,3.51,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.0,24.9,23.8,19.4,16.3
20250719,108,2.0,1698,16,3.9,210,18,7.8,204,23.9,25.8,1719,21.9,405,23.0,22.9,20.6,95.4,87.0,3,28.2,1.3,0.9,-9.0,998.2,1007.9,1009.5,2136,1005.9,219,10.0,0.0,14.4,-9.0,3.79,0.46,1500,84.0,32.1,23.17,32.1,247,10.4,316,-9.0,-9,-9.0,-9,-9.0,-9,24.7,24.2,24.5,21.0,15.6
20250731,108,2.0,1700,32,4.1,1818,32,6.7,1813,30.9,34.6,1432,29.3,610,22.7,32.4,25.3,62.3,48.0,1435,27.6,5.2,3.6,-9.0,992.3,1001.8,1002.9,752,1000.2,1,8.9,1.1,14.1,-9.0,13.17,1.95,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.7,25.7,24.3,19.4,16.4
20250721,108,2.3,2006,20,5.0,1115,16,8.9,1118,28.5,31.6,1455,25.6,414,23.9,26.5,20.1,77.4,64.0,1500,29.7,5.9,4.1,-9.0,1002.9,1012.6,1013.9,918,1011.4,221,5.6,5.8,14.4,-9.0,18.81,3.23,1100,0.0,0.0,1.0,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,25.4,24.0,24.1,21.3,16.3
20250708,108,1.9,1628,20,6.8,1841,18,11.0,1837,31.3,37.8,1509,26.9,612,25.2,33.8,23.9,72.5,48.0,1455,32.1,7.2,5.0,-9.0,997.0,1006.5,1008.1,2259,1004.2,1759,4.3,8.4,14.6,-9.0,22.64,3.24,1100,11.8,11.8,3.0,6.4,1815,5.3,1826,-9.0,-9,-9.0,-9,-9.0,-9,26.2,23.4,21.4,16.8,14.2
20250711,108,3.3,2851,5,4.9,702,5,9.3,2054,30.2,36.1,1658,24.6,559,17.4,35.1,20.0,47.1,35.0,1531,19.9,11.2,7.8,-9.0,1001.4,1010.9,1012.4,709,1009.0,1734,0.1,13.5,14.6,-9.0,30.35,3.59,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.2,24.0,21.8,17.1,14.3
20250715,108,2.3,2009,32,5.0,558,29,8.4,553,23.6,25.9,1516,21.5,200,20.6,24.7,20.1,84.1,71.0,1925,24.3,2.9,2.0,-9.0,985.4,995.0,998.8,2340,992.6,320,9.3,0.6,14.5,-9.0,10.03,2.04,1400,4.0,2.0,11.17,1.3,11,0.6,39,-9.0,-9,-9.0,-9,-9.0,-9,26.2,24.5,22.4,17.3,14.4
20250729,108,2.0,1702,27,3.7,1742,27,6.2,1740,32.0,36.7,1428,27.6,548,24.1,36.4,24.0,64.0,49.0,1343,29.9,6.8,4.7,-9.0,990.0,999.5,1001.0,709,997.2,1755,2.9,8.9,14.2,-9.0,20.41,2.94,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.7,25.4,24.0,19.4,16.3
20250720,108,2.8,2429,20,5.2,312,20,11.0,230,27.7,31.3,1643,25.0,543,24.3,27.2,23.5,82.8,63.0,1703,30.3,4.7,3.3,-9.0,1001.2,1010.9,1012.6,2317,1008.0,143,7.1,5.7,14.4,-9.0,16.69,2.28,1000,14.8,0.0,6.92,7.2,9,3.3,44,-9.0,-9,-9.0,-9,-9.0,-9,24.6,24.0,24.3,21.7,16.0
20250707,108,1.9,1660,18,3.6,518,25,6.0,1911,29.1,33.2,1623,26.7,545,25.0,29.0,25.1,79.0,65.0,1432,31.6,4.3,3.0,-9.0,995.5,1005.0,1006.5,2351,1004.1,1705,5.8,2.5,14.6,-9.0,11.21,2.07,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.1,23.3,21.3,16.8,14.2
