TM,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50
20250728,108,2.0,1734,32,3.8,1452,34,6.7,1418,32.2,36.4,1529,28.8,555,25.1,38.8,25.2,67.3,47.0,1549,31.9,8.8,6.2,-9.0,992.4,1001.9,1003.8,555,999.6,1733,1.6,11.9,14.2,-9.0,27.0,3.55,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.4,25.1,23.9,19.4,16.3
20250716,108,2.1,1809,16,4.9,1038,16,9.2,1033,23.3,24.8,820,22.2,2111,21.5,22.7,21.3,90.1,74.0,1037,25.7,0.9,0.7,-9.0,990.6,1000.4,1002.2,1101,998.6,38,9.6,0.0,14.5,-9.0,2.34,0.39,800,73.1,124.8,16.33,27.0,2025,8.0,2032,-9.0,-9,-9.0,-9,-9.0,-9,25.9,24.4,22.5,17.4,14.4
20250724,108,1.9,1624,29,3.6,1445,34,6.0,1923,29.8,34.1,1350,25.8,533,23.0,30.7,22.9,68.0,48.0,1417,28.2,7.9,5.5,-9.0,1000.1,1009.7,1011.4,518,1007.7,1713,5.1,9.2,14.3,-9.0,24.91,3.82,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.9,24.3,23.7,19.8,16.3
20250718,108,1.7,1509,5,3.1,1333,5,5.3,1351,24.7,27.2,1820,22.9,903,22.8,23.6,22.2,89.5,80.0,1818,27.7,2.1,1.5,-9.0,995.8,1005.5,1007.2,1029,1004.2,1,9.5,0.3,14.5,-9.0,7.44,1.23,1500,16.1,71.3,11.0,9.5,812,4.7,833,-9.0,-9,-9.0,-9,-9.0,-9,24.4,24.5,24.0,19.9,14.5
20250709,108,2.2,1884,5,3.7,2154,5,7.3,2207,31.9,36.0,1629,27.4,530,23.1,31.1,24.5,61.1,45.0,1437,28.3,8.3,5.8,-9.0,998.6,1008.1,1009.6,813,1006.3,1707,3.4,8.0,14.6,-9.0,23.55,3.22,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,26.7,23.6,21.5,16.9,14.2
20250710,108,2.9,2541,5,4.9,2334,5,9.5,2001,31.4,36.2,1553,27.3,554,18.1,32.9,23.0,46.6,33.0,1707,21.0,12.5,8.7,-9.0,1000.2,1009.8,1011.3,2348,1007.9,1811,0.4,13.3,14.6,-9.0,29.95,3.55,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.1,23.8,21.7,17.0,14.2
20250730,108,1.7,1468,5,3.8,1252,16,6.7,1451,32.1,36.3,1447,28.3,512,23.9,36.9,24.3,62.9,38.0,1705,29.6,6.3,4.4,-9.0,990.1,999.6,1000.8,805,998.2,1705,7.3,5.6,14.2,-9.0,19.51,2.54,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,28.7,25.6,24.1,19.4,16.3
20250725,108,1.9,1646,29,3.9,1924,29,6.5,1922,31.1,36.3,1531,25.6,546,23.3,33.8,21.7,64.6,49.0,1516,28.6,8.5,6.0,-9.0,998.0,1007.5,1009.0,101,1005.4,1646,1.0,12.4,14.3,-9.0,26.48,3.23,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.3,24.5,23.7,19.6,16.3
20250713,108,1.5,1338,27,3.2,1324,32,5.4,1332,27.7,31.0,1241,25.6,2346,20.8,28.5,20.9,66.8,55.0,1141,24.7,3.5,2.5,-9.0,991.5,1001.1,1005.5,1,997.9,2349,9.0,1.7,14.6,-9.0,10.39,1.64,1000,0.0,0.0,2.5,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,27.3,24.4,22.1,17.2,14.3
20250701,108,3.0,2631,25,5.2,1526,25,8.7,1521,28.6,31.8,1336,26.2,729,24.4,27.8,25.2,78.6,67.0,1330,30.6,5.5,3.8,-9.0,1001.6,1011.3,1012.3,1003,1010.1,1743,7.0,3.8,14.7,-9.0,17.38,2.83,1300,0.9,0.0,3.67,0.9,610,0.9,700,-9.0,-9,-9.0,-9,-9.0,-9,24.9,22.3,20.7,16.3,14.0
