사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20250405,경춘선,김유정,451,513,20250408
20250423,신림선,샛강,3561,4296,20250426
20250426,2호선,교대(법원.검찰청),20607,26404,20250429
20250404,경부선,평택,15420,15011,20250407
20250416,9호선,선유도,10806,9985,20250419
20250415,6호선,버티고개,2648,2685,20250418
20250420,2호선,방배,7915,8184,20250423
20250421,7호선,신대방삼거리,16905,16298,20250424
20250417,3호선,경찰병원,8491,8552,20250420
20250430,2호선,동대문역사문화공원(DDP),16294,19003,20250503
20250408,장항선,온양온천,4905,5099,20250411
20250407,9호선,증미,9202,9097,20250410
20250424,4호선,충무로,38970,39369,20250427
20250423,7호선,신풍,13459,12604,20250426
20250403,5호선,여의도,34827,37037,20250406
20250426,5호선,광화문(세종문화회관),35378,33183,20250429
20250402,2호선,역삼,60458,68145,20250405
20250407,6호선,새절(신사),14740,13926,20250410
20250411,5호선,장한평,23409,22966,20250414
20250428,9호선,동작(현충원),2091,1772,20250501
20250414,5호선,목동,17851,19736,20250417
20250429,8호선,문정,27114,28666,20250502
20250417,7호선,군자(능동),16853,13303,20250420
20250407,3호선,녹번,17175,15824,20250410
20250414,4호선,신용산,19755,21176,20250417
20250428,분당선,수내,14997,14990,20250501
20250423,경춘선,대성리,628,631,20250426
20250422,경인선,도원,3471,3434,20250425
20250404,경강선,여주,3251,3393,20250407
20250406,신림선,대방,2125,1715,20250409
20250410,우이신설선,삼양사거리,2927,2936,20250413
20250419,공항철도 1호선,서울역,14662,13269,20250422
20250403,5호선,길동,10017,10241,20250406
20250426,5호선,오목교(목동운동장앞),18515,18689,20250429
20250429,2호선,이대,21137,22920,20250502
20250403,9호선,샛강,7802,7906,20250406
20250405,2호선,선릉,30544,26450,20250408
20250426,경부선,남영,8020,8758,20250429
20250410,1호선,종각,44505,44104,20250413
20250421,경원선,보산,1589,1427,20250424
20250430,경의선,문산,6772,6383,20250503
20250415,5호선,천호(풍납토성),21588,21311,20250418
20250421,3호선,독립문,8410,8748,20250424
20250416,7호선,수락산,14115,13859,20250419
20250409,2호선,선릉,67562,59375,20250412
20250412,분당선,강남구청,5859,6894,20250415
20250420,5호선,종로3가,14911,15706,20250423
20250411,3호선,잠원,6556,5999,20250414
20250414,중앙선,오빈,283,267,20250417
20250425,5호선,장한평,23415,23083,20250428
